epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1053.25,0.97977,2.66525,1.09276,0.98649,0.07367,0.58411,0.42978,0.90205,2.82158,0.99912,0.000467346,0.000467346,0.000467346
2,1119.52,0.96576,1.6959,1.09211,0.74123,0.65935,0.70655,0.50456,0.94369,1.81513,1.14932,0.000924994,0.000924994,0.000924994
3,1182.7,1.00237,1.54554,1.11556,0.84043,0.70308,0.80633,0.57791,0.9649,1.2967,1.10784,0.00136378,0.00136378,0.00136378
4,1245.62,0.95397,1.39977,1.08602,0.7489,0.70953,0.77238,0.57052,0.92397,1.99278,1.07796,0.00134412,0.00134412,0.00134412
5,1307.88,1.00982,1.30238,1.12059,0.84356,0.71832,0.76572,0.57003,0.97657,1.21752,1.07124,0.00131582,0.00131582,0.00131582
6,1369.78,0.9364,1.162,1.0817,0.84841,0.79565,0.84734,0.66476,0.8035,0.98417,1.02869,0.00128753,0.00128753,0.00128753
7,1434.04,0.93164,1.10295,1.08944,0.93419,0.80105,0.86806,0.6859,0.77923,0.83624,1.01919,0.00125923,0.00125923,0.00125923
8,1496.52,0.87456,0.97419,1.03978,0.97794,0.79652,0.86879,0.68177,0.82018,0.79092,1.00838,0.00123094,0.00123094,0.00123094
9,1558.57,0.8704,0.93001,1.05274,0.93858,0.78321,0.87652,0.69055,0.82168,0.79968,1.05536,0.00120265,0.00120265,0.00120265
10,1623.03,0.88305,0.92672,1.06535,0.90959,0.80986,0.85999,0.71117,0.7157,0.80536,0.97262,0.00117435,0.00117435,0.00117435
11,1685.39,0.82612,0.86108,1.03792,0.91764,0.77753,0.87915,0.70692,0.73341,0.77746,0.96322,0.00114606,0.00114606,0.00114606
12,1748.96,0.8174,0.78811,1.03155,0.91795,0.82806,0.89509,0.71724,0.73053,0.73804,0.98071,0.00111776,0.00111776,0.00111776
13,1810.52,0.77371,0.74763,0.99863,0.86471,0.78182,0.85924,0.70674,0.69233,0.81427,1.00089,0.00108947,0.00108947,0.00108947
14,1871.66,0.79705,0.75782,1.01085,0.91954,0.81394,0.88543,0.74561,0.696,0.73251,0.96758,0.00106118,0.00106118,0.00106118
15,1935.22,0.76911,0.72987,1.00124,0.95686,0.81315,0.88483,0.74441,0.65657,0.64792,0.94676,0.00103288,0.00103288,0.00103288
16,1996.3,0.75054,0.69322,1.0036,0.95838,0.81689,0.89056,0.76151,0.66141,0.67644,0.95512,0.00100459,0.00100459,0.00100459
17,2058.86,0.75519,0.7055,0.99323,0.95,0.85298,0.91288,0.78137,0.60905,0.60534,0.92403,0.000976293,0.000976293,0.000976293
18,2122.09,0.70867,0.65213,0.9804,0.93107,0.84291,0.89543,0.76255,0.60737,0.58191,0.94153,0.000947999,0.000947999,0.000947999
19,2183.2,0.69728,0.63297,0.98475,0.95937,0.84291,0.91799,0.7704,0.6082,0.54989,0.92474,0.000919704,0.000919704,0.000919704
20,2246.01,0.71225,0.66024,0.98824,0.89412,0.87203,0.90642,0.76003,0.6056,0.58554,0.92496,0.00089141,0.00089141,0.00089141
21,2308.12,0.68957,0.61564,0.9739,0.96239,0.83964,0.90316,0.77691,0.59115,0.55392,0.92287,0.000863116,0.000863116,0.000863116
22,2369.86,0.66999,0.60328,0.96637,0.98046,0.86563,0.92316,0.78853,0.59185,0.50712,0.91792,0.000834822,0.000834822,0.000834822
23,2434.58,0.69471,0.61093,0.97375,0.98765,0.84044,0.90889,0.79091,0.57997,0.55987,0.91723,0.000806528,0.000806528,0.000806528
24,2496.75,0.64233,0.56446,0.95152,0.96106,0.85526,0.91578,0.81252,0.54469,0.53749,0.9099,0.000778233,0.000778233,0.000778233
